id;codigo_programa;nombre_programa;codigo_snies;nombre_encargado;tipo_programa;modalidad_programa;contactos_ayuda
1;44807;bluetooth Librería;77636;habilidad multi-byte state;Cliente;channels definición vortals;Fantástico
2;85469;matrix;65043;web orquestar;Hormigon software Berkshire;Dominica Compatible;Electrónica
3;45509;Metal Extremadura Realineado;40174;Bedfordshire programming;HTTP Account Huerta;Chipre;Pizza Plástico
4;2167;al;93287;Gris;compress Malta Cliente;software Rústico Verde;Account Amarillo
5;15459;Sorprendente;60858;Bebes;Salud expedite;Pequeño;motivadora
6;93940;Madera;60155;Entrada Sabroso;compressing Cine;Granito Inteligente value-added;optimizada Robusto
7;59453;application Islas;9938;compressing Berkshire;Cataluña driver;Account Cantabria overriding;Edificio
8;62655;Madrid Tajikistan iniciativa;95033;Juguetería;incentivize;cross-platform deliver;invoice
9;72562;Buckinghamshire Director Dinánmico;43834;Money Huerta architect;Robusto Marca Lithuanian;Futuro Morado;schemas Berkshire Acero
10;24355;cross-media panel;13243;Extremadura Administrador Madera;Investment;matrix generate invoice;Realineado copying
