id;codigo_unidad;nombre_unidad;tipo_unidad;nombre_decano;descripcion
1;75298;Account XML estandardización;override Afghani potenciada;compuesto;Balboa
2;75475;initiatives virtual;HDD Castilla-La;digital Usabilidad;Shilling Blanco killer
3;78388;Metal;Terrenos;generate Marca Planificador;synthesizing multi-byte
4;63184;Azul Gris;Salida generating;Verde;Berkshire
5;9277;e-enable incentivize;Algodón;Paradigma capacitor Ensalada;Fantástico Poblado
6;36042;Operaciones Silla hack;Galicia Fantástico;auxiliary;Amarillo
7;67789;generate;Ronda;y;Salud back-end Facilitador
8;66579;architectures Usabilidad Pequeño;Pound Plástico;Blanco parsing estrategia;Fantástico Seguro Electrónica
9;6158;Andalucía;Pollo SDD bluetooth;Algodón Loan turn-key;Galicia Monitorizado capacitor
10;25454;matrix Sorprendente Galicia;Parcela;Genérico Fantástico HTTP;contenido RSS
